Date,SPY,TLT,GLD,DBC,VIX
1996-01-31,66.00074146251585,41.139926570081904,34.96437320010144,19.183323208249323,19.480792855247046
1996-02-29,66.93691382273622,41.101995310727084,33.97153162185333,20.19474974630362,20.884126338248013
1996-03-31,72.5318259193588,38.71501931844459,33.571033324687,19.33043673031465,16.31897043164831
1996-04-30,71.3314224293889,39.80692005604406,32.457696265452434,20.08194318715095,22.97179175959026
1996-05-31,71.35191125186884,40.235728735456135,30.64078779105623,17.796055770966007,15.652885348071791
1996-06-30,70.54730274971575,40.063136827435955,31.34039252960231,15.470413093362986,19.05601516176326
1996-07-31,74.87115670736972,40.06946699325684,30.225056488529837,15.596612364315963,18.948346507222247
1996-08-31,76.00159509215044,38.65188560849825,28.839261102127217,16.223306144615453,24.003582091004382
1996-09-30,75.5067567963421,38.322768323374945,28.384452344896395,17.530860134601514,21.47653492475997
1996-10-31,77.12021127000898,39.39311837222355,27.99201788750735,16.970550507470293,23.428118819202282
1996-11-30,80.03408470912144,38.514678797577965,28.237733699095962,17.68620565629591,17.992824807498522
1996-12-31,77.55148246029835,39.688557944507615,28.274394082165884,18.3206890614088,21.704303315469826
1997-01-31,74.85377695764531,41.241094821245724,28.433444360630936,18.645366866687493,14.269933961645343
1997-02-28,73.03954985963033,42.62120947980758,27.937926570194474,16.71202917651252,14.088436978642285
1997-03-31,71.50220967339766,44.52014449672001,28.53501172190571,17.46748311852401,16.841360350344058
1997-04-30,71.32381089525865,43.689789842890804,27.681210685876014,18.85675420104248,19.43213921505561
1997-05-31,69.09578120124411,43.33635631291855,25.66404544851023,19.52559750723019,22.056128069263835
1997-06-30,70.50838236084225,44.35249153915733,25.145968077916006,20.495467747126543,14.120015650024214
1997-07-31,64.1711300907725,45.77758122790128,24.069838935950838,22.692769114326676,22.468132838929414
1997-08-31,63.72539042965452,45.35467734100272,25.603104371282203,24.34549442041464,20.821326705043397
1997-09-30,65.71926382929142,42.387715678241314,25.677506800506947,24.66391235086097,27.840926373165942
1997-10-31,69.43445507866916,42.70301048947872,26.731938431193026,26.34969869463938,18.086943704500307
1997-11-30,66.98037966821263,44.13530070081145,26.112793172326747,24.966714172289986,16.142022465359094
1997-12-31,67.07706580569953,44.64700219790801,25.947459059526217,24.020989456183663,12.89176982242303
1998-01-31,65.52109180468017,44.84140216811585,25.311334039482905,22.67450418674722,18.18338766371373
